timestamp,snow,rain,maxwspd,precip,debris
datetime,int,int,float,float,int
T,,,,,
2012-06-18,0,0,53,0.00,133
2012-06-19,0,0,37,0.00,138
2012-06-20,0,0,39,0.00,99
2012-06-21,0,1,34,0.76,146
2012-06-22,0,0,23,0.00,85
2012-06-23,0,0,24,0.00,32
2012-06-24,0,0,32,0.00,40
2012-06-25,0,0,37,0.00,144
2012-06-26,0,0,24,0.00,127
2012-06-27,0,0,37,0.00,95
2012-06-28,0,1,42,4.06,65
2012-06-29,0,1,45,7.11,65
2012-06-30,0,1,23,0.0,19
2012-07-01,0,1,63,14.22,81
2012-07-02,0,0,26,0.00,272
2012-07-03,0,0,29,0.00,190
2012-07-04,0,0,34,0.00,27
2012-07-05,0,1,37,0.0,164
2012-07-06,0,0,24,0.00,203
2012-07-07,0,0,32,0.00,32
2012-07-08,0,0,35,0.00,37
2012-07-09,0,0,32,0.00,170
2012-07-10,0,0,27,0.00,149
2012-07-11,0,0,26,0.00,147
2012-07-12,0,0,29,0.00,142
2012-07-13,0,1,40,0.0,116
2012-07-14,0,1,29,0.0,50
2012-07-15,0,0,24,0.00,24
2012-07-16,0,0,32,0.00,145
2012-07-17,0,0,34,0.00,118
2012-07-18,0,1,63,13.97,154
2012-07-19,0,1,63,31.50,124
2012-07-20,0,1,32,0.0,132
2012-07-21,0,0,19,0.00,46
2012-07-22,0,0,23,0.25,35
2012-07-23,0,0,32,0.25,156
2012-07-24,0,1,79,9.40,868
2012-07-25,0,0,40,0.00,556
2012-07-26,0,1,35,1.78,413
2012-07-27,0,0,35,0.25,258
2012-07-28,0,0,26,0.00,154
2012-07-29,0,0,26,0.00,57
2012-07-30,0,0,24,0.00,365
2012-07-31,0,1,47,4.32,288
2012-08-01,0,0,19,0.00,296
2012-08-02,0,0,26,0.00,239
2012-08-03,0,0,24,0.00,181
2012-08-04,0,1,69,25.91,85
2012-08-05,0,0,29,0.00,139
2012-08-06,0,0,23,0.00,334
2012-08-07,0,0,29,0.00,337
2012-08-08,0,1,24,0.25,238
2012-08-09,0,1,37,0.0,296
2012-08-10,0,1,45,10.16,197
2012-08-11,0,0,27,0.00,85
2012-08-12,0,0,19,0.00,59
2012-08-13,0,1,24,8.64,200
2012-08-14,0,0,23,0.0,232
2012-08-15,0,0,26,0.0,182
2012-08-16,0,1,35,7.87,179
2012-08-17,0,0,21,0.00,185
2012-08-18,0,0,24,0.00,59
2012-08-19,0,0,24,0.00,40
2012-08-20,0,1,24,13.46,180
2012-08-21,0,0,19,0.00,192
2012-08-22,0,0,21,0.00,158
2012-08-23,0,0,23,0.00,205
2012-08-24,0,0,26,0.00,107
2012-08-25,0,0,27,0.00,36
2012-08-26,0,1,40,92.96,27
2012-08-27,0,0,24,0.00,204
2012-08-28,0,0,26,0.00,154
2012-08-29,0,0,19,0.00,146
2012-08-30,0,0,27,0.00,132
2012-08-31,0,0,32,0.00,119
2012-09-01,0,1,29,6.35,27
2012-09-02,0,0,29,0.00,26
2012-09-03,0,0,21,0.00,31
2012-09-04,0,1,63,8.38,149
2012-09-05,0,1,35,4.57,196
2012-09-06,0,0,21,0.00,147
2012-09-07,0,1,47,5.08,97
2012-09-08,0,1,32,5.84,53
2012-09-09,0,0,29,0.00,26
2012-09-10,0,0,21,0.00,216
2012-09-11,0,0,37,0.00,175
2012-09-12,0,0,29,0.00,145
2012-09-13,0,1,32,3.30,140
2012-09-14,0,0,24,0.0,104
2012-09-15,0,0,19,0.00,38
2012-09-16,0,0,24,0.00,19
2012-09-17,0,1,45,4.32,137
2012-09-18,0,0,39,0.00,125
2012-09-19,0,0,42,0.00,106
2012-09-20,0,0,34,0.00,123
2012-09-21,0,1,26,3.30,70
2012-09-22,0,1,42,0.25,19
2012-09-23,0,0,24,0.00,16
2012-09-24,0,0,37,0.00,126
2012-09-25,0,0,24,0.00,108
2012-09-26,0,0,27,0.00,111
2012-09-27,0,0,27,0.00,88
2012-09-28,0,0,29,0.00,101
2012-09-29,0,0,27,0.00,21
2012-09-30,0,0,29,0.00,26
2012-10-01,0,0,21,0.00,122
2012-10-02,0,0,34,0.00,99
2012-10-03,0,1,21,0.76,73
2012-10-04,0,1,42,2.54,86
2012-10-05,0,1,29,0.0,73
2012-10-06,0,0,35,0.00,16
2012-10-07,0,0,26,0.00,18
2012-10-08,0,0,35,0.00,45
2012-10-09,0,1,45,4.57,136
2012-10-10,0,0,42,0.00,94
2012-10-11,0,1,40,0.0,57
2012-10-12,0,0,29,0.0,55
2012-10-13,0,1,29,12.19,11
2012-10-14,0,1,50,13.72,16
2012-10-15,0,0,26,0.00,79
2012-10-16,0,0,39,0.00,95
2012-10-17,0,1,50,10.92,63
2012-10-18,0,1,37,3.30,90
2012-10-19,0,1,35,3.81,39
2012-10-20,0,0,24,0.00,23
2012-10-21,0,0,23,0.00,17
2012-10-22,0,1,29,7.11,56
2012-10-23,0,1,23,0.76,44
2012-10-24,0,0,32,0.00,56
2012-10-25,0,1,45,11.43,56
2012-10-26,0,0,34,0.00,47
2012-10-27,0,0,26,0.00,17
2012-10-28,0,1,40,0.0,19
2012-10-29,0,0,47,0.00,45
2012-10-30,0,0,50,0.00,63
2012-10-31,0,0,37,0.00,55
2012-11-01,0,0,24,0.00,37
2012-11-02,0,0,26,0.00,34
2012-11-03,0,0,24,0.00,16
2012-11-04,0,0,21,0.00,7
2012-11-05,0,0,23,0.00,27
2012-11-06,0,1,21,2.79,27
